material_id,bandgap
9235938.vasp,3.655
180097.vasp,3.649
5465384.vasp,2.984
8214732.vasp,0.824
5442681.vasp,0.873
9662439.vasp,1.124
5442666.vasp,1.03
1229253.vasp,1.693
5466204.vasp,0.637
6453868.vasp,1.234
6359425.vasp,0.984
9136236.vasp,2.594
9128381.vasp,2.473
9662683.vasp,2.508
6411586.vasp,2.585
6411537.vasp,0.512
180643.vasp,2.043
6411597.vasp,1.106
5465599.vasp,1.264
8216489.vasp,2.994
7988396.vasp,2.132
5465964.vasp,2.136
4046518.vasp,2.509
4750780.vasp,1.628
2000401.vasp,1.632
9665420.vasp,3.49
8230487.vasp,1.034
9134498.vasp,1.299
8274169.vasp,1.275
5466029.vasp,2.61
8219011.vasp,3.693
8204681.vasp,3.685
8216276.vasp,3.682
8215690.vasp,2.416
180775.vasp,2.134
8434747.vasp,2.085
8874748.vasp,2.26
4795013.vasp,2.533
8215703.vasp,3.189
8990337.vasp,3.166
8218299.vasp,3.345
180626.vasp,2.992
8204116.vasp,4.128
8218953.vasp,4.129
8434754.vasp,4.193
8276396.vasp,4.135
181046.vasp,4.177
180174.vasp,4.188
8227240.vasp,3.684
8435223.vasp,3.862
8218187.vasp,3.845
8204262.vasp,3.503
9236152.vasp,3.812
5465684.vasp,2.342
5465669.vasp,1.521
1229232.vasp,3.186
9175336.vasp,1.703
9175260.vasp,2.078
9175361.vasp,1.53
9173974.vasp,0.767
9175100.vasp,1.692
9236127.vasp,1.277
9174086.vasp,2.305
9175120.vasp,0.572
9245254.vasp,1.642
9236505.vasp,1.884
9173978.vasp,2.094
9174019.vasp,2.555
9174969.vasp,2.404
9173976.vasp,2.111
9236168.vasp,1.944
9174923.vasp,1.941
8230537.vasp,2.045
9136338.vasp,3.653
8219108.vasp,3.718
8991833.vasp,3.496
8204669.vasp,3.717
8242859.vasp,3.716
8241207.vasp,2.165
2000072.vasp,2.239
8434829.vasp,2.174
4794996.vasp,2.594
8257871.vasp,3.237
1927871.vasp,3.279
180952.vasp,3.377
8216289.vasp,3.027
8241223.vasp,4.22
8231621.vasp,4.01
8993313.vasp,4.231
8521797.vasp,4.166
180826.vasp,4.328
8217746.vasp,4.232
8257874.vasp,3.723
8208839.vasp,3.751
8204780.vasp,3.719
8216611.vasp,3.548
9136824.vasp,4.319
9173929.vasp,0.974
9174042.vasp,1.97
9239435.vasp,2.724
9236159.vasp,2.725
9235939.vasp,2.925
9240813.vasp,2.725
9173977.vasp,1.176
9175205.vasp,1.184
9239437.vasp,1.132
9239451.vasp,2.131
9236033.vasp,2.121
9173979.vasp,1.571
9173980.vasp,1.575
9239000.vasp,2.159
9239415.vasp,2.313
9235981.vasp,2.509
9240851.vasp,2.314
9174771.vasp,2.093
9239799.vasp,2.547
9240650.vasp,2.35
9235982.vasp,2.357
9175235.vasp,2.086
9238536.vasp,2.787
9236568.vasp,2.788
9235864.vasp,2.788
9240809.vasp,2.787
8220129.vasp,0.883
9137126.vasp,0.503
8311730.vasp,0.755
9134127.vasp,2.958
7742950.vasp,1.43
8230111.vasp,2.052
8287320.vasp,3.717
8230333.vasp,3.316
7978662.vasp,1.003
9239367.vasp,3.979
9236324.vasp,3.977
9235979.vasp,3.976
8275813.vasp,3.584
8204507.vasp,3.576
7734262.vasp,1.683
8218956.vasp,2.233
8290074.vasp,2.232
8230084.vasp,2.468
4795001.vasp,2.548
8436594.vasp,0.866
8257877.vasp,3.241
8434669.vasp,3.265
8218289.vasp,3.259
1230244.vasp,3.041
8241129.vasp,4.244
8869135.vasp,3.968
8434856.vasp,3.967
8276340.vasp,4.174
8218134.vasp,4.151
1229245.vasp,4.15
8257892.vasp,3.616
7755750.vasp,3.739
8435226.vasp,3.779
8218196.vasp,3.767
8204269.vasp,3.406
9238932.vasp,3.815
9236179.vasp,3.817
9136852.vasp,1.85
8244872.vasp,1.935
8204272.vasp,1.919
7731746.vasp,2.373
8214699.vasp,2.238
8204801.vasp,2.405
8220079.vasp,2.233
7829650.vasp,2.203
8277449.vasp,2.775
7837548.vasp,2.738
7751060.vasp,2.589
7837122.vasp,3.451
8277456.vasp,3.588
180997.vasp,3.596
8220057.vasp,3.735
7827222.vasp,3.556
9236704.vasp,3.671
1927337.vasp,3.424
1230441.vasp,3.081
8277459.vasp,2.894
1230268.vasp,3.235
8220071.vasp,2.888
7827358.vasp,2.843
8217369.vasp,3.711
4630733.vasp,0.75
7978640.vasp,0.594
1229375.vasp,2.622
1229316.vasp,2.756
1229332.vasp,2.771
7833198.vasp,1.187
5445986.vasp,1.203
4751080.vasp,1.906
5466194.vasp,1.75
4751035.vasp,4.008
1902447.vasp,4.398
5465429.vasp,1.268
6341327.vasp,0.895
8436410.vasp,2.476
5466024.vasp,2.785
8273324.vasp,3.499
8204525.vasp,3.485
7749760.vasp,1.615
8257476.vasp,2.297
8217973.vasp,2.418
4046236.vasp,2.429
8257479.vasp,3.275
8534519.vasp,3.063
8218314.vasp,3.218
7839860.vasp,3
8257482.vasp,3.956
180177.vasp,4.003
8304634.vasp,3.781
8535231.vasp,3.758
8217782.vasp,3.591
9238958.vasp,4.021
9137643.vasp,1.764
8275816.vasp,1.798
8258940.vasp,1.798
9141944.vasp,4.336
5466219.vasp,1.61
9174346.vasp,1.915
9174930.vasp,2.305
8709891.vasp,0.887
8287856.vasp,3.35
8216430.vasp,3.216
7785820.vasp,1.546
8280201.vasp,2.046
8218986.vasp,2.046
8217943.vasp,2.174
8215800.vasp,2.183
8280204.vasp,3.111
8219026.vasp,3.079
8534522.vasp,3.094
180851.vasp,2.952
9004059.vasp,3.765
8215806.vasp,3.852
8534646.vasp,3.628
8204302.vasp,3.611
9236555.vasp,3.866
8287866.vasp,1.804
8286409.vasp,1.804
8204305.vasp,1.804
9241568.vasp,2.693
9239398.vasp,2.933
9236661.vasp,2.933
9235980.vasp,2.917
180858.vasp,3.092
180061.vasp,2.42
9239439.vasp,2.198
9236454.vasp,2.378
9238944.vasp,1.471
9236325.vasp,1.468
9241294.vasp,1.47
9239758.vasp,1.472
180136.vasp,2.244
1910914.vasp,2.798
9239356.vasp,2.539
9236421.vasp,2.538
181450.vasp,2.174
9238575.vasp,0.88
180962.vasp,3.104
8285370.vasp,3.57
7753446.vasp,1.742
180394.vasp,2.291
5465079.vasp,0.542
4751060.vasp,3.176
8218320.vasp,3.356
5465134.vasp,3.175
5445391.vasp,0.525
5465074.vasp,4.218
180928.vasp,3.534
4636888.vasp,0.855
9239438.vasp,4.003
9236988.vasp,4.003
9235918.vasp,3.972
8228207.vasp,0.761
8215721.vasp,2.253
7748720.vasp,2.233
8275783.vasp,2.256
8200406.vasp,2.089
8204465.vasp,2.254
8233856.vasp,2.342
8248520.vasp,3.207
7733308.vasp,3.327
9239422.vasp,3.601
9236779.vasp,3.601
7775568.vasp,3.059
8221015.vasp,2.901
8285373.vasp,2.904
8216211.vasp,2.9
8214735.vasp,2.158
5465519.vasp,2.32
5465509.vasp,0.872
1229231.vasp,3.161
9238612.vasp,3.001
9236681.vasp,3.002
9660894.vasp,2.432
7834804.vasp,3.029
7907436.vasp,4.648
9699382.vasp,1.953
9136196.vasp,3.748
8215521.vasp,3.622
8313353.vasp,3.766
2010250.vasp,3.638
8707420.vasp,3.747
8218870.vasp,3.687
9128514.vasp,3.746
9115619.vasp,3.886
9141464.vasp,3.748
9181863.vasp,3.746
8460770.vasp,3.787
2599025.vasp,3.71
9617078.vasp,3.711
8208481.vasp,1.367
4634948.vasp,0.8
8213414.vasp,4.446
1890719.vasp,6.977
1910379.vasp,2.477
9239365.vasp,2.551
9240354.vasp,2.355
2065499.vasp,2.57
9175168.vasp,2.55
45589.vasp,2.366
9239746.vasp,1.845
9240357.vasp,1.845
2066543.vasp,2.695
9174851.vasp,2.185
9238890.vasp,1.845
9238925.vasp,1.843
2599244.vasp,2.352
43133.vasp,1.848
2012689.vasp,0.618
9184482.vasp,1.34
9184270.vasp,1.813
9204467.vasp,2.107
9240736.vasp,2.14
1927411.vasp,2.126
9236042.vasp,2.145
1949741.vasp,2.12
9241290.vasp,1.946
2599146.vasp,2.12
996028.vasp,2.138
9136028.vasp,0.863
6218226.vasp,0.977
8639062.vasp,0.736
6218751.vasp,0.856
9136139.vasp,1.057
8290513.vasp,1.255
2005314.vasp,1.004
7914492.vasp,1.132
1948758.vasp,0.883
7919112.vasp,0.903
8287639.vasp,1.006
9127981.vasp,1.058
9115525.vasp,1.057
7902126.vasp,0.905
2599291.vasp,1.032
44298.vasp,1.013
8535756.vasp,2.258
9000580.vasp,3.058
2003039.vasp,0.923
8522623.vasp,3.971
5184243.vasp,3.486
5183187.vasp,3.515
2004528.vasp,4.363
9175222.vasp,3.863
1952422.vasp,3.223
2599435.vasp,4.054
8215533.vasp,1.66
5188539.vasp,1.808
8224282.vasp,1.835
8702927.vasp,1.8
44048.vasp,1.69
44105.vasp,1.685
8219800.vasp,1.66
5187208.vasp,1.707
994135.vasp,1.819
2005580.vasp,2.645
9136709.vasp,3.49
8215527.vasp,3.512
7913040.vasp,3.427
8290528.vasp,3.305
2004575.vasp,3.291
7914476.vasp,3.497
2058371.vasp,3.318
7905020.vasp,3.494
9140690.vasp,3.489
2599641.vasp,3.509
9614866.vasp,3.312
1927343.vasp,1.216
6433739.vasp,0.604
8532030.vasp,0.693
1928297.vasp,3.186
8231400.vasp,2.824
8432594.vasp,0.511
1928144.vasp,0.511
8219157.vasp,1.987
7779854.vasp,3.136
7832662.vasp,2.567
9697861.vasp,2.311
8997633.vasp,3.227
8434363.vasp,3.522
2015771.vasp,2.03
2029809.vasp,1.39
2003199.vasp,2.049
8289828.vasp,1.925
6307095.vasp,0.958
8997178.vasp,3.459
8437444.vasp,3.983
2003054.vasp,3.63
8534025.vasp,4.019
5179851.vasp,3.297
1927691.vasp,2.051
8276212.vasp,1.718
8997175.vasp,3.456
8874737.vasp,3.24
8534020.vasp,3.847
8276578.vasp,3.842
2003046.vasp,3.483
8434838.vasp,3.948
8535628.vasp,4.078
8530986.vasp,2.328
2003111.vasp,2.633
8276262.vasp,2.204
8991254.vasp,1.973
8869518.vasp,3.007
8991263.vasp,3.287
8991252.vasp,0.588
1940397.vasp,3.59
8434384.vasp,4.061
8728456.vasp,3.515
8994843.vasp,2.397
2003103.vasp,3.489
7786142.vasp,3.946
8534409.vasp,4.114
8531133.vasp,3.483
8276581.vasp,4.151
9696612.vasp,3.428
7839228.vasp,3.242
8216023.vasp,3.044
8988899.vasp,0.64
6360393.vasp,0.543
9744674.vasp,1.728
2015883.vasp,3.631
8259993.vasp,2.965
2005734.vasp,2.326
7844844.vasp,2.101
2024597.vasp,1.751
1940541.vasp,3.602
8727107.vasp,1.795
8991733.vasp,2.075
8869094.vasp,3.087
8434359.vasp,3.645
1928357.vasp,3.14
8869542.vasp,3.14
8991361.vasp,3.252
8990651.vasp,3.676
8996115.vasp,0.74
9696209.vasp,3.849
8991757.vasp,3.432
8435430.vasp,3.729
7742360.vasp,4.128
2003038.vasp,4.508
8276413.vasp,4.154
8259064.vasp,3.779
8531140.vasp,1.094
2003105.vasp,2.669
7836332.vasp,2.447
8216755.vasp,2.643
8432518.vasp,0.629
8231428.vasp,1.949
8997466.vasp,3.459
8874790.vasp,3.249
8534028.vasp,3.917
6360340.vasp,0.947
8988746.vasp,0.623
8997149.vasp,3.464
9004644.vasp,3.996
8993241.vasp,4.326
5618225.vasp,0.541
8993209.vasp,2.408
43542.vasp,0.782
9184490.vasp,0.972
9184110.vasp,0.972
8163492.vasp,0.972
43643.vasp,0.881
9627856.vasp,0.501
8537839.vasp,2.338
8538371.vasp,2.338
8232931.vasp,0.675
9032760.vasp,0.78
1929032.vasp,0.541
8312171.vasp,2.397
8437037.vasp,2.397
8241318.vasp,3.279
8312177.vasp,3.63
8437094.vasp,3.734
7836184.vasp,3.044
8437631.vasp,3.268
7830960.vasp,3.23
9978368.vasp,0.641
8313371.vasp,4.273
4732532.vasp,4.721
8215167.vasp,4.284
8218860.vasp,3.761
8878750.vasp,4.317
2599930.vasp,4.286
8208451.vasp,1.626
8990170.vasp,1.071
8222113.vasp,3.236
8269197.vasp,3.837
8437719.vasp,3.09
8997745.vasp,1.433
9694823.vasp,4.518
8534872.vasp,3.115
8996997.vasp,1.702
8997631.vasp,0.641
9749167.vasp,0.643
8728533.vasp,1.298
8535750.vasp,1.315
8988844.vasp,1.757
8997888.vasp,1.492
2600246.vasp,1.851
8219057.vasp,2.111
8537565.vasp,2.107
8872448.vasp,2.269
1929278.vasp,1.258
2067966.vasp,1.258
8227093.vasp,0.52
2600183.vasp,1.033
2012924.vasp,0.876
2067336.vasp,1.928
2600124.vasp,2.104
8534591.vasp,3.392
4781919.vasp,2.747
8276762.vasp,2.583
2065787.vasp,2.74
7914480.vasp,2.386
8231133.vasp,2.371
8530860.vasp,2.265
7905038.vasp,2.573
2600144.vasp,2.594
5187628.vasp,3.384
5228990.vasp,3.338
8288212.vasp,2.718
8535921.vasp,2.852
8217335.vasp,2.721
9693707.vasp,2.283
44682.vasp,1.879
8701718.vasp,2.186
1949448.vasp,2.154
8202223.vasp,1.889
8231142.vasp,1.945
8530870.vasp,1.92
2600082.vasp,2.255
959996.vasp,1.877
5459203.vasp,1.157
8222120.vasp,3.461
8269202.vasp,4.094
8537800.vasp,4.388
8538352.vasp,4.52
8313567.vasp,4.218
7814128.vasp,4.526
9236157.vasp,2.347
1928978.vasp,2.35
6446476.vasp,1.108
9184484.vasp,0.518
8276776.vasp,3.623
2006027.vasp,4.083
8702026.vasp,3.715
8231203.vasp,3.224
8530927.vasp,3.448
8219901.vasp,3.84
2600088.vasp,3.925
1928841.vasp,1.406
8301968.vasp,1.228
8293303.vasp,0.693
8218569.vasp,0.916
8219870.vasp,1.85
8288446.vasp,1.851
8288987.vasp,1.113
8285724.vasp,1.38
8288998.vasp,2.597
8207951.vasp,0.883
8532262.vasp,0.881
8297073.vasp,1.01
8269170.vasp,2.102
8286870.vasp,1.986
8432873.vasp,2.207
8252208.vasp,3.308
8236305.vasp,3.199
8274353.vasp,3.24
8276796.vasp,2.107
8213306.vasp,3.191
8311416.vasp,0.806
8872304.vasp,1.65
8872264.vasp,2.15
1927611.vasp,3.355
2067646.vasp,1.055
2600316.vasp,1.061
8289024.vasp,1.968
9693270.vasp,1.929
8216153.vasp,1.76
8541925.vasp,1.033
9939149.vasp,1.324
8434940.vasp,3.279
8525484.vasp,0.839
8519226.vasp,1.161
8996415.vasp,0.677
8272514.vasp,0.863
8522077.vasp,1.538
8233380.vasp,1.696
8272520.vasp,1.734
8435259.vasp,1.098
8272526.vasp,1.619
8434714.vasp,1.68
8272536.vasp,1.558
8996306.vasp,2.889
8435346.vasp,3.098
8540573.vasp,3.757
8250721.vasp,3.114
2005355.vasp,3.749
1951693.vasp,2.971
8213111.vasp,3.095
2600399.vasp,3.795
43988.vasp,3.139
8428512.vasp,2.346
8432914.vasp,2.337
8532300.vasp,2.781
2013160.vasp,0.617
9002647.vasp,2.083
2002824.vasp,2.196
8702031.vasp,2.246
1977475.vasp,1.747
8250729.vasp,1.793
8219931.vasp,1.904
8236992.vasp,1.804
2600622.vasp,2.05
995117.vasp,1.752
2070029.vasp,5.054
9003298.vasp,4.964
2068419.vasp,4.972
2600502.vasp,4.043
8532460.vasp,2.477
8311859.vasp,3.141
8309833.vasp,3.951
8869442.vasp,3.561
8997177.vasp,3.771
8540576.vasp,1.15
2003189.vasp,1.144
8257109.vasp,0.994
8219934.vasp,0.837
2600520.vasp,0.994
9002719.vasp,3.86
4788506.vasp,3.732
8257112.vasp,3.761
8265030.vasp,2.955
8205334.vasp,3.294
8374410.vasp,3.754
8237019.vasp,2.955
2600501.vasp,3.798
995654.vasp,3.165
8532463.vasp,2.409
2069530.vasp,4.92
2600966.vasp,4.035
8532472.vasp,2.484
2067064.vasp,2.961
8702206.vasp,2.981
2600612.vasp,3.164
8532442.vasp,1.643
9002804.vasp,0.816
2068175.vasp,0.99
2067662.vasp,5.074
2600613.vasp,4.27
8432917.vasp,2.6
8532563.vasp,2.27
8532567.vasp,2.34
8427913.vasp,0.504
2000888.vasp,0.671
8702191.vasp,0.505
2600677.vasp,0.88
8535570.vasp,2.155
9003160.vasp,4.349
2005463.vasp,4.42
8215211.vasp,3.986
2600668.vasp,4.021
1872529.vasp,1.951
1928193.vasp,2.074
8532577.vasp,2.259
8532476.vasp,2.451
2069905.vasp,1.079
8702505.vasp,0.776
9003272.vasp,5.098
2068031.vasp,5.086
8226789.vasp,3.683
2600770.vasp,4.232
9235549.vasp,0.895
1927941.vasp,1.414
2002612.vasp,1.109
8215217.vasp,1.567
2601001.vasp,0.671
8437592.vasp,4.918
8702593.vasp,3.807
8532455.vasp,2.5
9000147.vasp,1.309
8997291.vasp,0.637
9000069.vasp,1.138
8997556.vasp,2.602
8291791.vasp,0.676
8198622.vasp,0.937
8436411.vasp,1.235
4732424.vasp,2.318
8874683.vasp,1.73
9750532.vasp,1.848
8432597.vasp,1.562
7908476.vasp,1.87
1927854.vasp,1.563
8213193.vasp,0.723
2599487.vasp,1.829
8996561.vasp,0.897
8432690.vasp,1.052
8206638.vasp,0.528
6396813.vasp,0.623
6408263.vasp,0.83
6396789.vasp,0.815
6407870.vasp,0.927
6452559.vasp,1.77
9693871.vasp,1.653
8258057.vasp,1.198
8432947.vasp,0.534
5620187.vasp,0.926
5459759.vasp,1.449
6449658.vasp,2.516
9661884.vasp,1.559
9660899.vasp,1.555
9660005.vasp,2.026
7892660.vasp,2.958
5451061.vasp,2.787
6455912.vasp,0.782
6356693.vasp,0.635
5451031.vasp,1.569
6348624.vasp,0.617
5459809.vasp,1.095
8255700.vasp,0.642
7744808.vasp,0.63
5451056.vasp,1.441
7977396.vasp,0.963
5439791.vasp,1.038
6899442.vasp,1.452
6790613.vasp,1.441
5459769.vasp,1.56
5451041.vasp,2.367
6429318.vasp,1.33
5440856.vasp,2.429
8700445.vasp,3.758
4046262.vasp,3.762
5459964.vasp,0.725
6795165.vasp,0.825
5459654.vasp,0.727
6429850.vasp,2.272
5460479.vasp,3.127
4045992.vasp,0.944
5621355.vasp,1.224
5459563.vasp,2.91
8242703.vasp,4.499
4046019.vasp,0.738
8283410.vasp,3.931
8277161.vasp,5.464
8700454.vasp,5.476
7834416.vasp,5.571
4046180.vasp,1.255
6412772.vasp,2.783
6455791.vasp,2.448
5451871.vasp,3.483
5460174.vasp,1.103
5451851.vasp,1.124
6429837.vasp,1.874
8226514.vasp,2.745
5442721.vasp,1.384
7892678.vasp,4.21
6806720.vasp,4.231
5460004.vasp,1.27
5451341.vasp,1.951
6449341.vasp,2.171
6443242.vasp,1.892
6358041.vasp,1.488
8278432.vasp,0.596
6430265.vasp,1.252
8278437.vasp,1.809
5460039.vasp,1.91
5451486.vasp,2.752
8227911.vasp,3.744
8258534.vasp,3.12
8227899.vasp,4.153
8229292.vasp,4.205
8709514.vasp,3.093
6358518.vasp,0.731
6348625.vasp,0.74
5459849.vasp,0.951
6409862.vasp,1.705
6350726.vasp,1.141
6442911.vasp,1.569
5450781.vasp,2.037
6306808.vasp,0.921
6315296.vasp,0.935
6313660.vasp,1.149
5450776.vasp,1.888
9949680.vasp,2.119
6349951.vasp,0.518
6403532.vasp,0.734
6403394.vasp,1.02
6906554.vasp,1.314
6791098.vasp,1.307
5451916.vasp,1.355
6429546.vasp,0.619
5450876.vasp,0.812
6356534.vasp,0.73
8697959.vasp,3.187
8278470.vasp,3.876
8707871.vasp,3.882
9128480.vasp,2.171
8281347.vasp,3.465
8258989.vasp,3.402
8302609.vasp,3.776
8305486.vasp,3.766
8715209.vasp,4.245
8217483.vasp,4.551
8229733.vasp,3.801
8281350.vasp,3.504
8276986.vasp,3.492
8305489.vasp,3.713
8722742.vasp,4.315
8217480.vasp,4.647
8725626.vasp,3.215
9128579.vasp,3.601
5441176.vasp,1.471
6426505.vasp,0.867
6430378.vasp,0.59
5460394.vasp,0.635
5452321.vasp,1.495
6430037.vasp,0.527
6405547.vasp,0.534
9133318.vasp,1.173
9137206.vasp,1.173
5459814.vasp,1.044
7831186.vasp,2.789
6429904.vasp,0.616
6807094.vasp,1.095
6442833.vasp,1.322
5450886.vasp,0.664
5620263.vasp,0.612
8280789.vasp,3.886
8258472.vasp,3.386
8258995.vasp,3.322
8305496.vasp,3.688
8281353.vasp,4.126
8229296.vasp,4.434
6316918.vasp,2.189
5460439.vasp,0.709
