material_id,bandgap,is_train
1927343.cif,4.044,TRUE
1927368.cif,1.692,TRUE
1927373.cif,1.676,TRUE
1927374.cif,1.799,TRUE
1927411.cif,0.775,TRUE
1927412.cif,2.154,TRUE
1927440.cif,2.261,TRUE
1927451.cif,2.154,TRUE
1927461.cif,2.324,TRUE
1927495.cif,2.16,TRUE
1927593.cif,2.088,TRUE
1927611.cif,2.718,TRUE
1927657.cif,3.655,TRUE
1927691.cif,3.639,TRUE
1927695.cif,3.664,TRUE
1927738.cif,3.691,TRUE
1927762.cif,3.666,TRUE
1927782.cif,3.698,TRUE
1927785.cif,3.702,TRUE
1927819.cif,3.702,TRUE
1927826.cif,3.048,TRUE
1927827.cif,2.927,TRUE
1927831.cif,3.001,TRUE
1927841.cif,2.993,TRUE
1927843.cif,2.952,TRUE
1927854.cif,2.811,TRUE
1927871.cif,0.501,TRUE
1927885.cif,3.579,TRUE
1927903.cif,3.581,TRUE
1927918.cif,2.289,TRUE
1927922.cif,2.156,TRUE
1927932.cif,3.179,TRUE
1927935.cif,3.31,TRUE
1927939.cif,3.024,TRUE
1927940.cif,3.953,TRUE
1927941.cif,3.881,TRUE
1927961.cif,3.942,TRUE
1927966.cif,3.713,TRUE
1927968.cif,3.68,TRUE
1927969.cif,3.542,TRUE
1927973.cif,3.832,TRUE
1927976.cif,3.832,TRUE
1927983.cif,1.797,TRUE
1927984.cif,2.999,TRUE
1927988.cif,0.737,TRUE
1927989.cif,3.322,TRUE
1927995.cif,3.42,TRUE
1927999.cif,1.624,TRUE
1928001.cif,2.299,TRUE
1928016.cif,2.3,TRUE
1928025.cif,2.306,TRUE
1928035.cif,0.539,TRUE
1928036.cif,3.233,TRUE
1928044.cif,3.216,TRUE
1928047.cif,3.215,TRUE
1928052.cif,3.055,TRUE
1928053.cif,3.773,TRUE
1928074.cif,3.97,TRUE
1928120.cif,3.643,TRUE
1928125.cif,3.622,TRUE
1928128.cif,3.625,TRUE
1928134.cif,3.622,TRUE
1928144.cif,4.038,TRUE
1928145.cif,3.85,TRUE
1928150.cif,1.767,TRUE
1928166.cif,1.8,TRUE
1928175.cif,1.803,TRUE
1928189.cif,0.607,TRUE
1928192.cif,0.504,TRUE
1928193.cif,1,TRUE
1928235.cif,3.736,TRUE
1928236.cif,3.839,TRUE
1928257.cif,3.714,TRUE
1928258.cif,1.986,TRUE
1928290.cif,2.263,TRUE
1928297.cif,2.394,TRUE
1928309.cif,2.264,TRUE
1928317.cif,2.499,TRUE
1928322.cif,0.693,TRUE
1928347.cif,3.196,TRUE
1928357.cif,3.197,TRUE
1928359.cif,3.187,TRUE
1928365.cif,3.322,TRUE
1928477.cif,3.177,TRUE
1928502.cif,4.229,TRUE
1928518.cif,4.227,TRUE
1928541.cif,4.223,TRUE
1928554.cif,4.368,TRUE
1928585.cif,4.344,TRUE
1928600.cif,3.873,TRUE
1928603.cif,3.878,TRUE
1928637.cif,3.668,TRUE
1928693.cif,1.337,TRUE
1928700.cif,2.494,TRUE
1928701.cif,2.285,TRUE
1928789.cif,0.788,TRUE
1928836.cif,1.909,TRUE
1928839.cif,1.149,TRUE
1928841.cif,3.093,TRUE
1928844.cif,2.029,TRUE
1928854.cif,2.05,TRUE
1928866.cif,1.928,TRUE
1928978.cif,2.082,TRUE
1928988.cif,3.099,TRUE
1929002.cif,3.112,TRUE
1929012.cif,3.13,TRUE
1929032.cif,3.729,TRUE
1929051.cif,3.628,TRUE
1929081.cif,3.613,TRUE
1929106.cif,1.711,TRUE
1929127.cif,1.685,TRUE
1929278.cif,2.156,TRUE
1930291.cif,2.156,TRUE
1940397.cif,2.845,TRUE
1940541.cif,2.103,TRUE
1948403.cif,2.109,TRUE
1948448.cif,3.652,TRUE
1948457.cif,3.653,TRUE
1948672.cif,3.649,TRUE
1948758.cif,2.984,TRUE
1948828.cif,0.824,TRUE
1948936.cif,1.124,TRUE
1949406.cif,1.03,TRUE
1949448.cif,1.693,TRUE
1949500.cif,0.637,TRUE
1949514.cif,1.234,TRUE
1949539.cif,0.984,TRUE
1949589.cif,2.473,TRUE
1949616.cif,2.508,TRUE
1949741.cif,2.585,TRUE
1949772.cif,0.512,TRUE
1949779.cif,2.043,TRUE
1949788.cif,1.264,TRUE
1949798.cif,2.994,TRUE
1950046.cif,2.132,TRUE
1950050.cif,2.136,TRUE
1950074.cif,2.509,TRUE
1950082.cif,1.632,TRUE
1950209.cif,3.49,TRUE
1950251.cif,1.034,TRUE
1950259.cif,1.299,TRUE
1950426.cif,1.275,TRUE
1950467.cif,2.61,TRUE
1950471.cif,3.693,TRUE
1950543.cif,3.685,TRUE
1950589.cif,3.682,TRUE
1950612.cif,2.416,TRUE
1950654.cif,2.134,TRUE
1950845.cif,2.085,TRUE
1951199.cif,2.26,TRUE
1951441.cif,2.533,TRUE
1951564.cif,3.189,TRUE
1951668.cif,3.166,TRUE
1951693.cif,2.992,TRUE
1951709.cif,4.129,TRUE
1951791.cif,4.135,TRUE
1951796.cif,4.177,TRUE
1951935.cif,4.188,TRUE
1951984.cif,3.684,TRUE
1952008.cif,3.862,TRUE
1952087.cif,3.845,TRUE
1952387.cif,3.503,TRUE
1952422.cif,3.812,TRUE
1952523.cif,2.342,TRUE
1952767.cif,1.521,TRUE
1952799.cif,3.186,TRUE
1953027.cif,1.703,TRUE
1953065.cif,1.53,TRUE
1953085.cif,0.767,TRUE
1976054.cif,1.692,TRUE
1977475.cif,1.277,TRUE
2000002.cif,2.305,TRUE
2000010.cif,0.572,TRUE
2000040.cif,1.642,TRUE
2000072.cif,1.884,TRUE
2000219.cif,2.094,TRUE
2000401.cif,2.555,TRUE
2000572.cif,2.404,TRUE
2000622.cif,1.944,TRUE
2000818.cif,1.941,TRUE
2000888.cif,2.045,TRUE
2000901.cif,3.653,TRUE
2001009.cif,3.718,TRUE
2001015.cif,3.496,TRUE
2001203.cif,3.717,TRUE
2001209.cif,3.716,TRUE
2001279.cif,2.165,TRUE
2001280.cif,2.239,TRUE
2001360.cif,2.174,TRUE
2001411.cif,2.594,TRUE
2001630.cif,3.237,TRUE
2001733.cif,3.279,TRUE
2001785.cif,3.377,TRUE
2002240.cif,4.22,TRUE
2002509.cif,4.01,TRUE
2002529.cif,4.231,TRUE
2002612.cif,4.166,TRUE
2002706.cif,4.232,TRUE
2002793.cif,3.723,TRUE
2002824.cif,3.751,TRUE
2002832.cif,3.719,TRUE
2002891.cif,3.548,TRUE
2002927.cif,4.319,TRUE
2003012.cif,0.974,TRUE
2003014.cif,1.97,TRUE
2003033.cif,2.724,TRUE
2003038.cif,2.725,TRUE
2003039.cif,2.925,TRUE
2003046.cif,1.176,TRUE
2003047.cif,1.184,TRUE
2003054.cif,1.132,TRUE
2003055.cif,2.131,TRUE
2003058.cif,2.121,TRUE
2003081.cif,1.575,TRUE
2003087.cif,2.159,TRUE
2003089.cif,2.313,TRUE
2003092.cif,2.509,TRUE
2003103.cif,2.314,TRUE
2003104.cif,2.093,TRUE
2003105.cif,2.547,TRUE
2003111.cif,2.35,TRUE
2003123.cif,2.357,TRUE
2003153.cif,2.086,TRUE
2003189.cif,2.787,TRUE
2003199.cif,2.788,TRUE
2003217.cif,2.788,TRUE
2003230.cif,2.787,TRUE
2003680.cif,0.883,TRUE
2003721.cif,0.755,TRUE
2004319.cif,2.958,TRUE
2004335.cif,1.43,TRUE
2004338.cif,2.052,TRUE
2004410.cif,3.717,TRUE
2004425.cif,3.316,TRUE
2004431.cif,1.003,TRUE
2004465.cif,3.979,TRUE
2004472.cif,3.977,TRUE
2004494.cif,3.976,TRUE
2004506.cif,3.576,TRUE
2004518.cif,1.683,TRUE
2004528.cif,2.233,TRUE
2004549.cif,2.232,TRUE
2004575.cif,2.468,TRUE
2004714.cif,2.548,TRUE
2004715.cif,0.866,TRUE
2004852.cif,3.241,TRUE
2004871.cif,3.265,TRUE
2004885.cif,3.259,TRUE
2004917.cif,3.041,TRUE
2004980.cif,4.244,TRUE
2005313.cif,3.968,TRUE
2005314.cif,3.967,TRUE
2005315.cif,4.174,TRUE
2005337.cif,4.151,TRUE
2005355.cif,4.15,TRUE
2005358.cif,3.616,TRUE
2005369.cif,3.739,TRUE
2005372.cif,3.779,TRUE
2005374.cif,3.767,TRUE
2005394.cif,3.406,TRUE
2005400.cif,3.815,TRUE
2005401.cif,3.817,TRUE
2005422.cif,1.85,TRUE
2005450.cif,1.935,TRUE
2005460.cif,1.919,TRUE
2005463.cif,2.373,TRUE
2005473.cif,2.238,TRUE
2005521.cif,2.405,TRUE
2005541.cif,2.233,TRUE
2005553.cif,2.738,TRUE
2005556.cif,2.589,TRUE
2005580.cif,3.451,TRUE
2005620.cif,3.588,TRUE
2005637.cif,3.596,TRUE
2005643.cif,3.735,TRUE
2005711.cif,3.556,TRUE
2005715.cif,3.671,TRUE
2005719.cif,3.081,TRUE
2005734.cif,2.894,TRUE
2005792.cif,3.235,TRUE
2005825.cif,2.888,TRUE
2005861.cif,2.843,TRUE
2005869.cif,3.711,TRUE
2005881.cif,0.75,TRUE
2005967.cif,0.594,TRUE
2006027.cif,2.622,TRUE
2006119.cif,2.756,TRUE
2009521.cif,2.771,TRUE
2009522.cif,1.187,TRUE
2009528.cif,1.906,TRUE
2010217.cif,4.008,TRUE
2010219.cif,4.398,TRUE
2010223.cif,1.268,TRUE
2010227.cif,0.895,TRUE
2010243.cif,2.476,TRUE
2010250.cif,2.785,TRUE
2010280.cif,3.499,TRUE
2010317.cif,3.485,TRUE
2010787.cif,1.615,TRUE
2011932.cif,2.297,TRUE
2012543.cif,2.418,TRUE
2012568.cif,2.429,TRUE
2012606.cif,3.275,TRUE
2012610.cif,3.063,TRUE
2012628.cif,3.218,TRUE
2012660.cif,3,TRUE
2012673.cif,3.956,TRUE
2012689.cif,4.003,TRUE
2012703.cif,3.781,TRUE
2012732.cif,3.758,TRUE
2012810.cif,3.591,TRUE
2012832.cif,4.021,TRUE
2012867.cif,1.764,TRUE
2012897.cif,1.798,TRUE
2012924.cif,1.798,TRUE
2012929.cif,4.336,TRUE
2012985.cif,1.61,TRUE
2012991.cif,1.915,TRUE
2013062.cif,2.305,TRUE
2013068.cif,0.887,TRUE
2013084.cif,3.35,TRUE
2013098.cif,3.216,TRUE
2013101.cif,1.546,TRUE
2013104.cif,2.046,TRUE
2013107.cif,2.046,TRUE
2013108.cif,2.174,TRUE
2013133.cif,2.183,TRUE
2013160.cif,3.111,TRUE
2013240.cif,3.079,TRUE
2013373.cif,3.094,TRUE
2013383.cif,2.952,TRUE
2013706.cif,3.765,TRUE
2013709.cif,3.852,TRUE
2014161.cif,3.628,TRUE
2014194.cif,3.611,TRUE
2014196.cif,3.866,TRUE
2015702.cif,1.804,TRUE
2015705.cif,1.804,TRUE
2015748.cif,1.804,TRUE
2015750.cif,2.693,TRUE
2015771.cif,2.933,TRUE
2015777.cif,2.933,TRUE
2015794.cif,2.917,TRUE
2015883.cif,3.092,TRUE
2015988.cif,2.42,TRUE
2016027.cif,2.198,TRUE
2023170.cif,2.378,TRUE
2023171.cif,1.471,TRUE
2024597.cif,1.468,TRUE
2029809.cif,1.47,TRUE
2058112.cif,1.472,TRUE
2058249.cif,2.244,TRUE
2058358.cif,2.798,TRUE
2058371.cif,2.539,TRUE
2058388.cif,2.538,TRUE
2058400.cif,2.174,TRUE
2058689.cif,0.88,TRUE
2058813.cif,3.104,TRUE
2058958.cif,3.57,TRUE
2058962.cif,1.742,TRUE
2062558.cif,2.291,TRUE
2065203.cif,0.542,TRUE
2065271.cif,3.176,TRUE
2065303.cif,3.356,TRUE
2065375.cif,3.175,TRUE
2065499.cif,4.218,TRUE
2065515.cif,3.534,TRUE
2065563.cif,0.855,TRUE
2065675.cif,4.003,TRUE
2065713.cif,4.003,TRUE
2065714.cif,3.972,TRUE
2065787.cif,0.761,TRUE
2065809.cif,2.253,TRUE
2065810.cif,2.233,TRUE
2065823.cif,2.256,TRUE
2065829.cif,2.089,TRUE
2065855.cif,2.254,TRUE
2065888.cif,3.327,TRUE
2065889.cif,3.601,TRUE
2065897.cif,3.601,TRUE
2065915.cif,3.059,TRUE
2066141.cif,2.901,TRUE
2066209.cif,2.904,TRUE
2066230.cif,2.9,TRUE
2066398.cif,2.158,TRUE
2066400.cif,0.872,TRUE
2066471.cif,3.161,TRUE
2066543.cif,3.001,TRUE
2066597.cif,3.002,TRUE
2066884.cif,2.432,TRUE
2067042.cif,3.029,TRUE
2067064.cif,4.648,TRUE
2067092.cif,1.953,TRUE
2067113.cif,3.748,TRUE
2067129.cif,3.622,TRUE
2067181.cif,3.766,TRUE
2067214.cif,3.638,TRUE
2067321.cif,3.747,TRUE
2067326.cif,3.746,TRUE
2067336.cif,3.886,TRUE
2067361.cif,3.746,TRUE
2067413.cif,3.787,TRUE
2067427.cif,3.71,TRUE
2067448.cif,3.711,TRUE
2067450.cif,1.367,TRUE
2067461.cif,0.8,TRUE
2067494.cif,4.446,TRUE
2067500.cif,6.977,TRUE
2067643.cif,2.477,TRUE
2067646.cif,2.551,TRUE
2067655.cif,2.355,TRUE
2067662.cif,2.57,TRUE
2067667.cif,2.55,TRUE
2067699.cif,2.366,TRUE
2067770.cif,1.845,TRUE
2067786.cif,1.845,TRUE
2067839.cif,2.695,TRUE
2067898.cif,2.185,TRUE
2067905.cif,1.845,TRUE
2067923.cif,1.843,TRUE
2067966.cif,2.352,TRUE
2068031.cif,1.848,TRUE
2068058.cif,0.618,TRUE
2068063.cif,1.34,TRUE
2068064.cif,1.813,TRUE
2068069.cif,2.107,TRUE
2068108.cif,2.14,TRUE
2068131.cif,2.126,TRUE
2068139.cif,2.145,TRUE
2068175.cif,2.12,TRUE
2068193.cif,1.946,TRUE
2068233.cif,2.12,TRUE
2068240.cif,2.138,TRUE
2068311.cif,0.863,TRUE
2068325.cif,0.977,TRUE
2068405.cif,0.736,TRUE
2068419.cif,0.856,TRUE
2068435.cif,1.057,TRUE
2068476.cif,1.255,TRUE
2069150.cif,1.004,TRUE
2069185.cif,1.132,TRUE
2069253.cif,0.883,TRUE
2069277.cif,0.903,TRUE
2069322.cif,1.058,TRUE
2069371.cif,0.905,TRUE
2069394.cif,1.032,TRUE
2069494.cif,1.013,TRUE
2069530.cif,2.258,TRUE
2069569.cif,3.058,TRUE
2069620.cif,0.923,TRUE
2069764.cif,3.971,TRUE
2069776.cif,3.486,TRUE
2069805.cif,3.515,TRUE
2069809.cif,4.363,TRUE
2069859.cif,3.863,TRUE
2069891.cif,3.223,TRUE
2069905.cif,4.054,TRUE
2070027.cif,1.808,TRUE
2070028.cif,1.8,TRUE
2070029.cif,1.69,TRUE
2070154.cif,1.685,TRUE
2070216.cif,1.66,TRUE
2070222.cif,1.707,TRUE
2071903.cif,2.645,TRUE
2072567.cif,3.49,TRUE
219611.cif,3.512,TRUE
222544.cif,3.427,TRUE
2325708.cif,3.291,TRUE
2335037.cif,3.497,TRUE
2518752.cif,3.318,TRUE
2518905.cif,3.494,TRUE
2518920.cif,3.489,TRUE
2518946.cif,3.509,TRUE
2518984.cif,3.312,TRUE
2519001.cif,1.216,TRUE
2519027.cif,0.604,TRUE
2519066.cif,0.693,TRUE
2519084.cif,3.186,TRUE
2519245.cif,2.824,TRUE
2519285.cif,0.511,TRUE
2519317.cif,0.511,TRUE
2519367.cif,1.987,TRUE
2519376.cif,3.136,TRUE
2519741.cif,2.567,TRUE
2519970.cif,2.311,TRUE
2520184.cif,3.227,TRUE
2520285.cif,3.522,TRUE
2520288.cif,2.03,TRUE
2599025.cif,1.39,TRUE
2599146.cif,2.049,TRUE
2599244.cif,1.925,TRUE
2599291.cif,3.459,TRUE
2599379.cif,3.983,TRUE
2599394.cif,3.63,TRUE
2599435.cif,3.297,TRUE
2599487.cif,2.051,TRUE
2599497.cif,1.718,TRUE
2599641.cif,3.456,TRUE
2599930.cif,3.24,TRUE
2600082.cif,3.847,TRUE
2600088.cif,3.842,TRUE
2600124.cif,3.483,TRUE
2600144.cif,3.948,TRUE
2600183.cif,4.078,TRUE
2600246.cif,2.328,TRUE
2600274.cif,2.633,TRUE
2600316.cif,2.204,TRUE
2600399.cif,1.973,TRUE
2600499.cif,3.007,TRUE
2600501.cif,3.287,TRUE
2600502.cif,0.588,TRUE
2600520.cif,3.59,TRUE
2600564.cif,4.061,TRUE
2600567.cif,3.515,TRUE
2600622.cif,2.397,TRUE
2600668.cif,3.489,TRUE
2600677.cif,3.946,TRUE
2600770.cif,4.114,TRUE
2600917.cif,3.483,TRUE
2600966.cif,4.151,TRUE
2601001.cif,3.428,TRUE
2601151.cif,3.242,TRUE
2601523.cif,3.044,TRUE
2601715.cif,0.64,TRUE
2601960.cif,0.543,TRUE
2602169.cif,3.631,TRUE
2602224.cif,2.326,TRUE
2602254.cif,2.101,TRUE
2602297.cif,1.751,TRUE
2602342.cif,3.602,TRUE
2602488.cif,1.795,TRUE
2602612.cif,2.075,TRUE
2602687.cif,3.087,TRUE
2602732.cif,3.645,TRUE
2602758.cif,3.14,TRUE
2602786.cif,3.14,TRUE
2602839.cif,3.252,TRUE
2602856.cif,3.676,TRUE
2602983.cif,0.74,TRUE
2603019.cif,3.849,TRUE
2603114.cif,3.432,TRUE
2603272.cif,3.729,TRUE
2603346.cif,4.128,TRUE
2603349.cif,4.508,TRUE
2603423.cif,3.779,TRUE
2603519.cif,1.094,TRUE
2603547.cif,2.669,TRUE
2603610.cif,2.447,TRUE
2603939.cif,2.643,TRUE
2604131.cif,1.949,TRUE
2604213.cif,3.459,TRUE
2604412.cif,3.917,TRUE
2604441.cif,0.947,TRUE
2604516.cif,3.996,TRUE
2604688.cif,4.326,TRUE
2605068.cif,0.541,TRUE
2605209.cif,0.782,TRUE
2605332.cif,0.972,TRUE
2605366.cif,0.972,TRUE
2605482.cif,0.972,TRUE
2605516.cif,0.881,TRUE
2605526.cif,0.501,TRUE
2605527.cif,2.338,TRUE
2605590.cif,2.338,TRUE
2605621.cif,0.675,TRUE
2605686.cif,0.78,TRUE
2605764.cif,0.541,TRUE
2605772.cif,2.397,TRUE
2605844.cif,2.397,TRUE
2605845.cif,3.279,TRUE
2605873.cif,3.63,TRUE
2605953.cif,3.734,TRUE
2606136.cif,3.044,TRUE
2606151.cif,3.268,TRUE
2606428.cif,3.23,TRUE
2606955.cif,0.641,TRUE
2606963.cif,4.273,TRUE
2607031.cif,4.721,TRUE
2607046.cif,4.284,TRUE
2607203.cif,3.761,TRUE
2607434.cif,4.317,TRUE
2607474.cif,4.286,TRUE
2607479.cif,1.626,TRUE
2607761.cif,1.071,TRUE
2608014.cif,3.236,TRUE
2608051.cif,3.837,TRUE
2608104.cif,3.09,TRUE
2608124.cif,1.433,TRUE
2608173.cif,4.518,TRUE
2608267.cif,3.115,TRUE
2608276.cif,1.702,TRUE
2608717.cif,0.641,TRUE
2608807.cif,0.643,TRUE
2608867.cif,1.298,TRUE
2608971.cif,1.315,TRUE
2609168.cif,1.757,TRUE
2609235.cif,1.492,TRUE
2609327.cif,1.851,TRUE
2609475.cif,2.111,TRUE
2609482.cif,2.107,TRUE
2609542.cif,2.269,TRUE
2609621.cif,1.258,TRUE
2609679.cif,1.258,TRUE
2609684.cif,0.52,TRUE
2609728.cif,1.033,TRUE
2609779.cif,0.876,TRUE
2609783.cif,1.928,TRUE
2609942.cif,2.104,TRUE
2610259.cif,3.392,TRUE
2610393.cif,2.747,TRUE
2610468.cif,2.583,TRUE
2610538.cif,2.74,TRUE
2610608.cif,2.386,TRUE
2610666.cif,2.371,TRUE
2610827.cif,2.265,TRUE
2611225.cif,2.573,TRUE
2611296.cif,2.594,TRUE
2611305.cif,3.338,TRUE
2611408.cif,2.852,TRUE
2611997.cif,2.721,TRUE
2612038.cif,2.283,TRUE
2612098.cif,1.879,TRUE
2612127.cif,2.186,TRUE
2612191.cif,2.154,TRUE
2612340.cif,1.889,TRUE
2612422.cif,1.92,TRUE
2612457.cif,2.255,TRUE
2612523.cif,1.877,TRUE
2612757.cif,1.157,TRUE
2612861.cif,3.461,TRUE
2612912.cif,4.094,TRUE
2612978.cif,4.388,TRUE
2613312.cif,4.52,TRUE
2613464.cif,4.218,TRUE
2613572.cif,4.526,TRUE
2613602.cif,2.347,TRUE
2613749.cif,2.35,TRUE
2613783.cif,0.518,TRUE
2613787.cif,3.623,TRUE
2613833.cif,4.083,TRUE
2613891.cif,3.715,TRUE
2614040.cif,3.224,TRUE
2614047.cif,3.448,TRUE
2614371.cif,3.925,TRUE
2614520.cif,1.406,TRUE
2614609.cif,1.228,TRUE
2614785.cif,0.693,TRUE
2614875.cif,0.916,TRUE
2614894.cif,1.85,TRUE
2614917.cif,1.851,TRUE
2614963.cif,1.113,TRUE
2614968.cif,1.38,TRUE
2615044.cif,2.597,TRUE
2615114.cif,0.883,TRUE
2615295.cif,0.881,TRUE
2615467.cif,1.01,TRUE
2615602.cif,2.102,TRUE
3293236.cif,1.986,TRUE
3767229.cif,2.207,TRUE
4045955.cif,3.308,TRUE
4045959.cif,3.199,TRUE
4045982.cif,3.191,TRUE
4045992.cif,0.806,TRUE
4045997.cif,1.65,TRUE
4046001.cif,2.15,TRUE
4046005.cif,3.355,TRUE
4046012.cif,1.055,TRUE
4046015.cif,1.061,TRUE
4046035.cif,1.968,TRUE
4046043.cif,1.929,TRUE
4046047.cif,1.76,TRUE
4046051.cif,1.033,TRUE
4046058.cif,1.324,TRUE
4046059.cif,3.279,TRUE
4046060.cif,0.839,TRUE
4046068.cif,1.161,TRUE
4046069.cif,0.677,TRUE
4046071.cif,0.863,TRUE
4046074.cif,1.538,TRUE
4046085.cif,1.696,TRUE
4046088.cif,1.734,TRUE
4046090.cif,1.098,TRUE
4046100.cif,1.619,TRUE
4046102.cif,1.558,TRUE
4046127.cif,2.889,TRUE
4046128.cif,3.098,TRUE
4046162.cif,3.757,TRUE
4046180.cif,3.114,TRUE
4046181.cif,3.749,TRUE
4046228.cif,2.971,TRUE
4046229.cif,3.095,TRUE
4046234.cif,3.795,TRUE
4046236.cif,3.139,TRUE
4046255.cif,2.346,TRUE
4046262.cif,2.337,TRUE
4046272.cif,2.781,TRUE
4046276.cif,0.617,TRUE
4046278.cif,2.083,TRUE
4046285.cif,2.196,TRUE
4046456.cif,2.246,TRUE
4046518.cif,1.747,TRUE
42622.cif,1.793,TRUE
42747.cif,1.904,TRUE
42769.cif,1.804,TRUE
42770.cif,2.05,TRUE
42934.cif,1.752,TRUE
42979.cif,5.054,TRUE
42987.cif,4.972,TRUE
42999.cif,4.043,TRUE
43115.cif,2.477,TRUE
43133.cif,3.141,TRUE
43143.cif,3.951,TRUE
43187.cif,3.561,TRUE
43220.cif,3.771,TRUE
43229.cif,1.144,TRUE
43255.cif,0.994,TRUE
43274.cif,0.837,TRUE
43324.cif,0.994,TRUE
43343.cif,3.732,TRUE
43384.cif,3.761,TRUE
